,value,lat,lon
0,155227,37.37691677434275,126.93755207923608
1,166613,37.38084221258282,126.9610139867541
2,19823,37.40423536797726,126.87979992327
3,155937,37.40609749336699,126.8792858610381
4,11935,37.40609749336699,126.8792858610381
5,29583,37.40525224375973,126.88123698610191
6,145715,37.40402196315235,126.8793275796721
7,155937,37.40417871182806,126.87932226721442
8,66345,37.40725486879758,126.9229034862134
9,56055,37.40729996226153,126.92302673634691
10,149346,37.40654243143124,126.8849068913767
11,155125,37.418974993838,126.89349564185041
12,32756,37.40957352438068,126.8821967981398
13,29583,37.40701927427077,126.88001498566099
14,58106,37.41055833715531,126.9211761104986
15,58106,37.41231943039312,126.92027220463409
16,56055,37.40853383714646,126.9223914859139
17,56055,37.41236136874835,126.9203971738692
18,58106,37.41339221192734,126.9197065480783
19,3759,37.4140748374765,126.9194852667289
20,58106,37.41537193143477,126.91755132953828
21,3759,37.41412993146761,126.91945657908241
22,44574,37.41435627439798,126.91939936159979
23,55542,37.4162442128094,126.91483595449041
24,3453,37.41629318144462,126.9148648290238
25,6228,37.41559565013714,126.9172743599177
26,59823,37.41900196273521,126.91066433014281
27,60161,37.42087918106069,126.90844129796221
28,52263,37.41651833765816,126.91462335999279
29,52053,37.41945471156186,126.9102928302398
30,58780,37.42115696198749,126.9081402357178
31,43964,37.42122527461455,126.9082460174066
32,58780,37.42189130670503,126.9073802356741
33,58780,37.42299489994301,126.90676898576599
34,43964,37.42159205617197,126.9078633611049
35,43964,37.4234591497682,126.90666004853858
36,58780,37.4240573063195,126.906186392699
37,43964,37.42409802485979,126.90631220431791
38,95127,37.4236778372273,126.898301797591
39,97674,37.4237431184276,126.89495782968059
40,29875,37.4236778372273,126.898301797591
41,144664,37.41959105623004,126.89396408026441
42,58780,37.42464518179884,126.905864985474
43,43964,37.42439261842014,126.90614701691221
44,25717,37.42594693083365,126.90531992312211
45,51311,37.42597527526068,126.90545079859601
46,25717,37.42827590001875,126.9046348920176
47,42259,37.43402689999009,126.90310620495909
48,51311,37.42782418156352,126.9049033292136
49,56041,37.43003071194447,126.904289361126
50,9750,37.38327633730066,126.9343057980867
51,9354,37.37733461810711,126.94033733026258
52,9464,37.37845486917441,126.94044261030581
53,8365,37.37851046202122,126.94021151698641
54,4038,37.38157930571263,126.9375524857295
55,2886,37.38205399376947,126.9372150795445
56,4038,37.38154352442874,126.9373926417802
57,2886,37.38222649366013,126.93691661073669
58,1524,37.38353224299021,126.9337687987002
59,1603,37.38216464925758,126.9303437987347
60,1603,37.38280968104256,126.92903520456579
61,1524,37.38286980631607,126.9291478298949
62,869,37.38349999381069,126.9366927355525
63,1090,37.38423633778002,126.9362806738182
64,6721,37.38326574326868,126.93576929773609
65,8917,37.38331677507331,126.9362732362917
66,8917,37.38346227467653,126.9351487052502
67,6721,37.38339974314293,126.9348560164632
68,3327,37.38531118138314,126.9348337983671
69,2896,37.38365636858972,126.9354333607708
70,8896,37.38412239978268,126.93357561105749
71,8602,37.38392911888394,126.9339027666067
72,755,37.38392790023521,126.9288717981287
73,442,37.38550571278271,126.93160042384329
74,796,37.38414505648478,126.9281038294452
75,981,37.38733899375337,126.9265096104192
76,1472,37.38414758681048,126.9018682982964
77,1599,37.38607255625169,126.9066286111661
78,8602,37.38492511885073,126.9330687353449
79,8896,37.38486521168511,126.9329559545673
80,2896,37.3860496181856,126.9347118918774
81,3327,37.38601683680533,126.93458083019421
82,906,37.38753021236576,126.93523679815571
83,891,37.38941668038988,126.93437501732402
84,681,37.3862438057638,126.9332431108245
85,673,37.38633399382326,126.9331683611429
86,7516,37.38811221222061,126.9302468608777
87,8031,37.38638643159976,126.931840735785
88,1472,37.38617796235825,126.90711361067319
89,1599,37.38932408730112,126.9095493916073
90,2845,37.38951968143542,126.9331344229353
91,2650,37.38702474278384,126.9343574857467
92,564,37.38729683791767,126.9272387043737
93,631,37.38812871253219,126.92942357895149
94,923,37.38766880589198,126.92652239181369
95,951,37.38853955592084,126.92598854811109
96,7292,37.38901858760725,126.9294590799107
97,7581,37.38866433800381,126.92991854876992
98,525,37.38896218114726,126.93130689201651
99,442,37.38974215000696,126.93256904865721
100,7292,37.38962368141772,126.92898970390492
101,7581,37.38968330684516,126.929102735085
102,1472,37.38943699371323,126.90979967353229
103,1599,37.39060424344729,126.9097018607559
104,951,37.39010040029975,126.92528757977449
105,923,37.3895908684045,126.92565942318491
106,3058,37.38988180630583,126.9329311102978
107,3840,37.39019333745491,126.93290379865459
108,3058,37.39034843122565,126.9326293302483
109,3840,37.39038911842135,126.93275229824091
110,1220,37.39060383694598,126.92573264178878
111,784,37.39125686894417,126.92671123570291
112,921,37.39283411920785,126.92310951670142
113,810,37.39072221176715,126.9250376418358
114,7292,37.39056783747441,126.92821148617658
115,7581,37.39161386860199,126.9275022041817
116,1005,37.39067233794587,126.93293186051241
117,1439,37.39092536866456,126.93355776771709
118,658,37.39083905590144,126.93406448603041
119,623,37.39081943107458,126.93496651620208
120,3840,37.39117793095456,126.93226542380941
121,3058,37.39112961878084,126.93214398503521
122,1421,37.39183071207889,126.93432307947029
123,999,37.39110799321446,126.9339774229522
124,1599,37.39306718118911,126.9098333605386
125,1472,37.39151336812449,126.9095688914489
126,3058,37.39180318088219,126.93166986090158
127,3840,37.3914251498983,126.9320800169339
128,472,37.39174321236938,126.92788120414231
129,974,37.39321505634725,126.930426673391
130,9158,37.39248733785401,126.9267741108048
131,7640,37.39375736852336,126.92555642279079
132,3058,37.39294196236443,126.9308283292585
133,3840,37.3930003369061,126.93094242277529
134,1876,37.3940311501266,126.92491611109621
135,2143,37.39299186862689,126.92319723550942
136,1286,37.39295336889731,126.9228195173945
137,1633,37.39440896190593,126.9188726419511
138,279,37.39584958746666,126.92062054783631
139,453,37.3935025559264,126.92272917318321
140,3351,37.3933732120024,126.9306523608044
141,3058,37.39546340018381,126.92823451628321
142,1472,37.39340758752477,126.91062879911829
143,1599,37.39394705627339,126.91139479790951
144,935,37.39403036795864,126.91616795403671
145,779,37.39417808754924,126.9162018922497
146,779,37.39463052465424,126.91582598642842
147,935,37.39457077492679,126.9157130477072
148,13631,37.39445283764278,126.9259350482036
149,12248,37.39515714991052,126.9270022673646
150,11248,37.39738849323051,126.922522923666
151,11224,37.3943822127225,126.92515783018949
152,1472,37.39419461868306,126.91210267293042
153,1599,37.39459143117669,126.9126031106366
154,1633,37.39464102525126,126.91838123637699
155,1286,37.39451974361513,126.9189083295633
156,935,37.39502818168683,126.9180580171538
157,779,37.394626055409,126.9170484862328
158,1599,37.39569308682336,126.91469270448731
159,1472,37.39484955588775,126.91334864163929
160,935,37.3953463999967,126.9150585176523
161,779,37.39510805683877,126.9154238296472
162,982,37.3960355876452,126.9197229855807
163,1707,37.395176587356,126.91833304808121
164,617,37.39569446232456,126.9339580797361
165,854,37.39524371205822,126.93507654855921
166,12248,37.39610264997502,126.9288083917609
167,13631,37.39555880618094,126.92800689232159
168,3351,37.39583199327949,126.9279047983004
169,3058,37.39838908700398,126.92495720496599
170,1661,37.39594383738993,126.9145788615881
171,1945,37.3958729624376,126.91480161079892
172,3744,37.39571761831316,126.915066079694
173,3146,37.39689499367841,126.91626170536779
174,854,37.39647214996182,126.9325034540346
175,617,37.39637611859641,126.93244111038891
176,1945,37.39633311839788,126.9144417362101
177,1661,37.39627599318216,126.91432664166531
178,13631,37.3962429000009,126.9293260480031
179,12248,37.39633380625454,126.92925432995709
180,2464,37.3967356192183,126.92128548618929
181,1371,37.39712808770399,126.9217683295817
182,617,37.39664658761245,126.93179498605309
183,854,37.3966103065825,126.9321465171971
184,1661,37.39962602441168,126.91288154778928
185,1945,37.3972979311861,126.9136456103056
186,3744,37.39701924375532,126.9165945798701
187,3146,37.39802639997256,126.91759661042971
188,3694,37.39836127483782,126.9240969859824
189,1930,37.39775952446967,126.9231934853599
190,9456,37.39961971252526,126.9206615797777
191,11104,37.39815793129628,126.9219992666181
192,3744,37.39865658752448,126.918524485049
193,3146,37.39926940059703,126.91916854884451
194,2775,37.40053590052128,126.92285236059558
195,3708,37.39880065015965,126.92472614151269
196,3744,37.39978005634813,126.9200660797213
197,3146,37.39987811880071,126.9200005161412
198,1661,37.40219905573304,126.91062886065072
199,1945,37.40013043136656,126.912784985782
200,7558,37.40038727493989,126.9200216728869
201,9926,37.40044711776653,126.9201345479829
202,1258,37.40035358792859,126.9210572978101
203,1978,37.40046505594237,126.92101545412642
